Stanza_num,ORIGINAL,TRANSLATION (GNEDICH),TRANSLATION (SHENGHELI),Canto_name
10,"If, fallen in evil days on evil tongues,
Milton appeal’d to the avenger, Time,|||asimov-30|||
If Time, the avenger, execrates his wrongs
And makes the word “Miltonic” mean |||italics|||“sublime,”|||/italics|||
|||italics|||He|||/italics||| deigned not to belie his soul in songs,
Nor turn his very talent to a crime;
|||italics|||He|||/italics||| did not loathe the sire to laud the son,|||asimov-31|||
But closed the tyrant-hater he begun.","Лишь Мильтон, злоязычьем уязвленный,
Взывал к возмездью Времени — и вот,
Судья нелицемерный, непреклонный,
Поэту Время славу воздает.
Но он не лгал — гонимый, угнетенный,
Не унижал таланта, ибо тот,
Кто не клевещет, кто не льстит, не гнется,
Всю жизнь тираноборцем остается.","И если в злые дни, терзаем злоязычьем,
К возмездью Времени сам Мильтон кинул зов,
И время гневное, звук «Мильтон» слив с величьем
Навек, во прах смело́ растоптанных врагов, —
То в песнях он не лгал, |||italics|||собой |||/italics|||был, не обличьем;
К подножью зла не гнул высокий дар стихов;
Пред сыном не юлил, сперва отца обидя,
И умер, как и жил, тиранов ненавидя!",Dedication
11,"Think’st thou, could he—the blind old man—arise
Like Samuel from the grave to freeze once more
The blood of monarchs with his prophecies,|||asimov-32|||
Or be alive again—again all hoar
With time and trials, and those helpless eyes
And heartless daughters—worn and pale and poor,|||asimov-33|||
Would |||italics|||he|||/italics||| adore a sultan? |||italics|||He|||/italics||| obey
The intellectual eunuch Castlereagh?|||asimov-34|||","О, если б мог восстать, как Самуил,
Он, сей старик, пророк, чей голос властный
Сердца монархов страхом леденил!
О, если б он воскрес, седой и страстный!
Глаза слепые он бы обратил
На злобных дочерей! Но и несчастный,
Не льстил бы он ни трону, ни венцу,
И не тебе, моральному скопцу,","Встань вновь из гроба он, как древле Самуил,
Встань вновь слепой старик — вещаньем величавым
Кровь замораживать в глуби монаршьих жил;
Воскресни он, от лет и горя седоглавым,
С глазами мертвыми, весь бледен, нищ и хил,
Средь злобных дочерей, — ужель он пред кровавым
Султаном пал бы ниц? Склонился ль бы лицом —
Он перед Кэстлери, пред нравственным скопцом?",Dedication
12,"Cold-blooded, smooth-faced, placid miscreant!
Dabbling its sleek young hands in Erin’s gore,|||asimov-35|||
And thus for wider carnage taught to pant,
Transferr’d to gorge upon a sister shore,|||asimov-36|||
The vulgarest tool that tyranny could want,
With just enough of talent and no more,
To lengthen fetters by another fix’d|||asimov-37|||
And offer poison long already mix’d.","Преступник Каслрей — лукавый, ловкий,
Ты холеные руки обагрил
В крови Ирландии. С большой сноровкой
Ты в Англии свободу придушил.
Готовый на подлейшие уловки,
Ты тирании ревностно служил,
Надетые оковы закрепляя
И яд, давно готовый, предлагая.","Тот — хладнокровный зверь с повадками тихони —
Лил кровь Ирландии изнеженной рукой
И, жаден до резни, кровавые ладони
С восторгом наложил потом на край родной;
Холоп Насилия, орудье беззаконий,
Он одаренностью владеет лишь одной:
Уже скрепленные затягивать оковы
И яды подносить, что издавна готовы.",Dedication
13,"An orator of such set trash of phrase,
Ineffably, legitimately vile,
That even its grossest flatterers dare not praise,
Nor foes—all nations—condescend to smile.
Not even a sprightly blunder’s spark can blaze
From that Ixion grindstone’s ceaseless toil,|||asimov-38|||
That turns and turns to give the world a notion
Of endless torments and perpetual motion.","Когда ты говоришь парадный вздор,
И гладкий и пустой до омерзенья,
Льстецов твоих — и тех смолкает хор.
Все нации с усмешкою презренья
Следят, как создает словесный сор
Бессмысленного жернова круженье,
Который может миру доказать,
Что даже речь способна пыткой стать.","Ораторствуя, он столь мерзкий мусор фраз
Повсюду сыплет, столь законченно презренный,
Что и льстецы его поднять не смеют глаз
Враги ж — все нации — снисходят до мгновенной
Улыбки. Ах, сверкни хоть искрой он, хоть раз,
Ошибкой, — Иксион, чей жернов неизменный
Над миром всё кружит, кружит — для образца
Движенья вечного и пытки без конца.",Dedication
14,"A bungler even in its disgusting trade,
And botching, patching, leaving still behind
Something of which its masters are afraid,
States to be curb’d and thoughts to be confined,
Conspiracy or congress to be made|||asimov-39|||—
Cobbling at manacles for all mankind—
A tinkering slave-maker, who mends old chains,
With God and man’s abhorrence for its gains.","Гнусна твоя бездарная работа:
Одно старье латать, клепать, чинить.
Всегда страшит твоих хозяев что-то,
И это — повод нации душить.
Созвать конгресс пришла тебе охота,
Чтоб цепи человечества скрепить.
Ты создаешь рабов с таким раденьем,
Что проклят и людьми и провиденьем.","Пачкун и в мерзостной своей работе, — штопкой
И клепкой занятый всех дырок и щелей,
Столь страшных для души его хозяев робкой, —
Он страны душит, он в подполье всех темней
Конгрессы создает; рты затыкая пробкой,
Оковы он кует для мыслей и людей
И чинит по дворам цепей старинных звенья, —
От бога и людей достойный лишь презренья.",Dedication
15,"If we may judge of matter by the mind,
Emasculated to the marrow, |||italics|||It|||/italics|||
Hath but two objects, how to serve and bind,
Deeming the chain it wears even men may fit,
Eutropius|||asimov-40||| of its many masters,—blind
To worth as freedom, wisdom as to wit,
Fearless—because |||italics|||no|||/italics||| feeling dwells in ice;
Its very courage stagnates to a vice.|||asimov-41|||","Ну, что о сущности твоей сказать?
Имеешь ты (или, верней, Оно)
Две цели: удушать и угождать
Кого и как — такому все равно:
Привык он, как Евтропий, услужать.
В нем, правда, есть достоинство одно —
Бесстрашие, но это уж не смелость,
А просто чувств и сердца омертвелость.","Коль о материи дает судить нам дух,
То в жизни |||italics|||этого|||/italics||| есть только два предмета:
Лакейство для себя, гнет для других; евнух,
Он сам к цепям привык и всем готовит это;
Евтропий всех господ, всегда он слеп и глух
К уму и доблести, к свободе, к делу света.
Бесстрашен он (и лед бесстрастным зваться б мог!),
Но эта храбрость в нем противна, как порок.",Dedication
16,"Where shall I turn me not to |||italics|||view|||/italics||| its bonds,
For I will never |||italics|||feel|||/italics||| them;—Italy!|||asimov-42|||
Thy late reviving Roman soul desponds
Beneath the lie this state-thing breathed o’er thee.
Thy clanking chain and Erin’s yet green wounds
Have voices, tongues to cry aloud for me.
Europe has slaves, allies, kings, armies still,
And Southey lives to sing them very ill.","Куда бы я глаза ни обратил,
Везде я вижу цепи. О Италия!
Ведь даже римский дух твой погасил
Сей ловкий шут, презренная каналия!
Он ранами Ирландию покрыл,
Европа вся в кровавой вакханалии,
Везде рабы и троны, смрад и тьма,
Да Саути — их певец, плохой весьма.","Куда бы мне бежать, не видеть цепи мерзкой
(Не мне ее |||italics|||влачить|||/italics|||)? Италия? На миг
В ней ожил римский дух, но этой министерской
Бездушной куклою оболган и — поник.
Всё ж вопль ее кандал звучней сей песни дерзкой
И — свежих ран твоих, о Эрин, громче крик!
В Европе — короли, рабы, войска, союзы
И Саути, их певец, сын малокровной музы.",Dedication
17,"Meantime—Sir Laureate—I proceed to dedicate
In honest simple verse this song to you.
And, if in flattering strains I do not predicate,
’Tis that I still retain my “buff and blue;”|||asimov-43|||
My politics as yet are all to educate.
Apostasy’s so fashionable too,
To keep |||italics|||one|||/italics||| creed’s a task grown quite Herculean|||asimov-44|||
Is it not so, my Tory, ultra-Julian?|||asimov-45|||","Но, сэр лауреат, я все ж дерзаю
Сей скромный труд тебе преподнести.
Особой лести я не обещаю —
Я ближе к вигам и всегда почти
Цвет желто-голубой предпочитаю.
До ренегатства мне не дорасти,
Хоть без него живется многим худо —
Тем, кто не Юлиан и не Иуда...","Ну, сэр Лауреат, решил я в тишине
Вам посвятить мой стих в простом и честном роде,
И если мало льщу, то потому, что мне
Быть «желто-голубым» привычно по природе;
Я политически воспитан не вполне:
Отступничество ведь настолько нынче в моде,
Что геркулесов труд — в чужой не прыгнуть стан.
Не так ли, тори мой, мой ультра-Юлиан?",Dedication
,CANTO THE FIRST|||asimov-46|||,ПЕСНЬ ПЕРВАЯ,ПЕСНЬ ПЕРВАЯ,Canto the First
1,"I want a hero: an uncommon want,
When every year and month sends forth a new one,
Till, after cloying the gazettes with cant,|||asimov-47|||
The age discovers he is not the true one;
Of such as these I should not care to vaunt,
I’ll therefore take our ancient friend Don Juan|||asimov-48|||—
We all have seen him, in the pantomime,
Sent to the devil somewhat ere his time.|||asimov-49|||","Ищу героя! Нынче что ни год
Являются герои, как ни странно
Им пресса щедро славу воздает,
Но эта лесть, увы, непостоянна:
Сезон прошел — герой уже не тот
А посему я выбрал Дон-Жуана
Ведь он, наш старый друг, в расцвете сил
Со сцены прямо к черту угодил.","Мне надобен герой. Не странное ль желанье?
У нас что ни сезон, то новый пущен в ход,
Покуда публике газетное кривлянье
Не надоест и все поймут: герой — не тот.
Но не нуждаюсь я в столь суетном созданье.
В герои — Дон-Жуан, наш старый друг пойдет:
Мы в пантомиме все уже не раз его видали,
Как черти в ад его досрочно увлекали.",Canto the First
2,"Vernon,|||asimov-50||| the butcher Cumberland,|||asimov-51||| Wolfe,|||asimov-52||| Hawke,|||asimov-53|||
Prince Ferdinand,|||asimov-54||| Granby,|||asimov-55||| Burgoyne,|||asimov-56||| Keppel,|||asimov-57||| Howe,|||asimov-58|||
Evil and good, have had their tithe of talk,
And fill’d their sign posts|||asimov-59||| then, like Wellesley now;|||asimov-60|||
Each in their turn like Banquo’s monarchs stalk,|||asimov-61|||
Followers of fame, “nine farrow” of that sow:
France, too, had Buonaparte|||asimov-62||| and Dumourier|||asimov-63|||
Recorded in the Moniteur and Courier.|||asimov-64|||","Хок, Фердинанд и Гренби — все герои,
И Кемберленд-мясник и Кеппел тут;
Они потомством Банко предо мною,
Как пред Макбетом, в сумраке встают,
«Помет одной свиньи», они толпою
По-прежнему за славою бегут,
А слава — даже слава Бонапарта —
Есть детище газетного азарта.","Принц Фердинанд, Бургойн, Хау, Вернон, Грэнби, Гок,
Вулф, Камберленд-мясник и Кеппел — все пред нами
Злословья иль похвал себе урвали клок,
Как ныне Уилслей, что встал в толпе как знамя;
За славой все они трусили в должный срок,
Как «девять поросят одной свиньи», — тенями
Видений Макбета... Французам, например,
Про Бонапарта пел, про Дюмурье «Курьер».",Canto the First
3,"Barnave,|||asimov-65||| Brissot,|||asimov-66||| Condorcet,|||asimov-67||| Mirabeau,|||asimov-68|||
Pétion,|||asimov-69||| Clootz,|||asimov-70||| Danton,|||asimov-71||| Marat,|||asimov-72||| La Fayette,|||asimov-73|||
Were French, and famous people, as we know:
And there were others, scarce forgotten yet,
Joubert,|||asimov-74||| Hoche,|||asimov-75||| Marceau,|||asimov-76||| Lannes,|||asimov-77||| Desaix,|||asimov-78||| Moreau,|||asimov-79|||
With many of the military set,
Exceedingly remarkable at times,
But not at all adapted to my rhymes.","Барнав, Бриссо, Дантон, и Кондорсе,
Марат, и Петион, и Лафайет —
Вот Франция во всей своей красе.
(А все-таки забывчив праздный свет.)
Жубер и Ош, Марсо, Моро, Дезэ —
Смотрите-ка, им просто счету нет!
Недавно их венчали лавры славы,
Но не приемлют их мои октавы.","Во Франции еще немало знаменитых:
Бриссо и Мирабо, Барнав, Петьон, Дантон,
Клотц, Лафайет, Марат; пока не позабытых
Немало и других блистательных имен:
Гош, Ланн, Жубер, Марсо, Моро, Дезэ, повитых
Когда-то славою, и целый легион
Их сотоварищей по армии могучей;
Но к их фамилиям я не найду созвучий.",Canto the First
4,"Nelson was once Britannia’s god of war,|||asimov-80|||
And still should be so, but the tide is turn’d;
There’s no more to be said of Trafalgar,|||asimov-81|||
’Tis with our hero quietly inurn’d;
Because the army’s grown more popular,
At which the naval people are concern’d;
Besides, the prince is all for the land-service,
Forgetting Duncan,|||asimov-82||| Nelson, Howe,|||asimov-83||| and Jervis.|||asimov-84|||","Наш Нельсон — сей британский бог войны —
Достоин славы гордого угара,
Но вместе с ним давно погребены
И лавры и легенды Трафальгара.
Нам силы сухопутные нужны,
И моряки встревожены недаром:
Великих адмиралов имена
Забыл король, забыла вся страна!","Когда-то в Англии был Нельсон — бог войны,
Но не остался им: отлив начался бурный;
Про Трафальгар — молчат: давно погребены
И подвиг, и герой, одною скрыты урной.
Теперь на армию глаза обращены;
В забвенье моряки с их славой авантюрной;
К тому же регент наш столь поглощен земным,
Что Нельсон, Джервис, Го, Дункан — забыты им.",Canto the First
5,"Brave men were living before Agamemnon|||asimov-85|||
And since, exceeding valorous and sage,
A good deal like him too, though quite the same none;
But then they shone not on the poet’s page,
And so have been forgotten:—I condemn none,
But can’t find any in the present age
Fit for my poem (that is, for my new one);
So, as I said, I’ll take my friend Don Juan.","И до и после славного Ахилла
Цвели мужи, не худшие, чем он,
Но песнь поэта нам не сохранила
Ни славы их, ни доблестных имен.
И потому мне очень трудно было
В тумане новых и былых времен
Найти героя вовсе без изъяна —
И предпочел я все же Дон-Жуана!","До Агамемнона великих много было,
Умом и доблестью похожих на него.
Нашлись и после бы. Но лира их забыла,
И мир — их позабыл... Не стану никого
Я порицать, — и все ж: глядит мой век уныло;
В нем не найду нигде героя моего,
Кто пригодился бы в поэме (в этой, в новой).
Так будь им Дон-Жуан, мой друг, на всё готовый!",Canto the First
6,"Most epic poets plunge “in medias res”|||asimov-86|||
(Horace makes this the heroic turnpike road),|||asimov-87|||
And then your hero tells, whene’er you please,
What went before—by way of episode,
While seated after dinner at his ease,
Beside his mistress in some soft abode,
Palace, or garden, paradise, or cavern,
Which serves the happy couple for a tavern.","Гораций говорил, что «medias res»
Для эпоса — широкая дорога.
Что было раньше, волею небес
Поэт потом покажет понемногу,
Влюбленных приведя под сень древес,
В пещеру или к пышному чертогу,
За ужином, в саду или в раю —
Где он посадит парочку свою.","Ныряет в medias res эпический поэт
(Так подымать учил шлагбаум эпопеи
Гораций); наш герой, свой проглотив обед,
Порой рассказ ведет, усевшись поплотнее
С подругою своей, о бедах прошлых лет
Словами беглыми, в какой-нибудь аллее,
В чертогах иль в раю, или забившись в грот,
Что нежной парочке и за отель сойдет.",Canto the First
7,"That is the usual method, but not mine—
My way is to begin with the beginning;
The regularity of my design
Forbids all wandering as the worst of sinning,|||asimov-88|||
And therefore I shall open with a line
(Although it cost me half an hour in spinning)
Narrating somewhat of Don Juan’s father,
And also of his mother, if you’d rather.","Таков обычный метод, но не мой:
Мой метод — начинать всегда с начала.
Мой замысел и точный и прямой,
В нем отступлений будет очень мало.
Начну я просто первою главой
(Каких бы мне трудов она ни стала).
Я вам хочу подробно описать
Отца и мать героя, так сказать.","Так — общепринято. Но я пишу иначе:
С начала начинай! — вот лучший путь из всех.
И запрещает мне обдуманность задачи
Все отступления как самый тяжкий грех.
Итак — я приступил и, возжелав удачи,
Хоть час вертеть строку я буду (нам не спех),
Но расскажу кой-что вам об его папаше
И матушке, — снискав на то согласье ваше.",Canto the First
8,"In Seville was he born, a pleasant city,|||asimov-89|||
Famous for oranges and women—he
Who has not seen it will be much to pity,
So says the proverb—and I quite agree;|||asimov-90|||
Of all the Spanish towns is none more pretty,
Cadiz perhaps—but that you soon may see;|||asimov-91|||
Don Juan’s parents lived beside the river,
A noble stream, and call’d the Guadalquivir.|||asimov-92|||","В Севилье он родился. Город, славный
Гранатами и женщинами. Тот
Бедняк, кто не был в нем, — бедняк подавно.
Севилья лучшим городом слывет.
Родители Жуана благонравно
И неизменно жили круглый год
Над речкою, воспетой целым миром
И называемой Гвадалкивиром.","Рожден в Севилье он... Прелестный городок:
Какие женщины, какие померанцы!
«Кто в ней не побывал хотя б один часок,
Тот жалок» — говорят (и правильно) испанцы.
С ней Кадикс, может быть, соперничать бы мог
Но вам о нем потом мы скажем, иностранцы...
Жуана отчий дом стоял, вкушая мир,
На славном берегу реки Гвадалквивир.",Canto the First
9,"His father’s name was Jóse—|||italics|||Don,|||/italics||| of course,—|||asimov-93|||
A true Hidalgo, free from every stain
Of Moor or Hebrew blood, he traced his source|||asimov-94|||
Through the most Gothic gentlemen of Spain;|||asimov-95|||
A better cavalier ne’er mounted horse,
Or, being mounted, e’er got down again,
Than Jóse, who begot our hero, who
Begot—but that’s to come—Well, to renew:","Его отец — Хосе́, понятно, «дон»,
Идальго чистокровный, без следа
Еврейско-маврской крови, — был рожден
От грандов, не робевших никогда
Не всякий граф, маркиз или барон
Был на коне так ловок, господа,
Как дон Хосе, зачавший Дон-Жуана,
Зачавшего (об этом, впрочем, рано)...","От готских рыцарей происходил родитель
Жуана — Хозе; он, конечно, |||italics|||доном|||/italics||| был, —
Гидальго подлинный и чести охранитель:
Кровь мавританская вовек дворянских жил
Не осквернила. Он был лучший укротитель
Коней, — садился ли в седло, или сходил.
Таков был Хозе наш, родивший нам героя,
Который сам родил... нет! не нарушу строя!..",Canto the First
10,"His mother was a learned lady, famed
For every branch of every science known|||asimov-96|||
In every Christian language ever named,
With virtues equall’d by her wit alone,
She made the cleverest people quite ashamed,
And even the good with inward envy groan,
Finding themselves so very much exceeded
In their own way by all the things that she did.","Его мамаша столь была умна,
Такими отличалась дарованьями,
Что повсеместно славилась она
И всех ученых затмевала знаньями
Их честь была весьма уязвлена,
И затаенной зависти стенаньями
Отметили они наперебой
Инесы превосходство над собой.","Его же матушка считалась знатоком
Любой из отраслей любых наук, с какими
Любой христианин был где-нибудь знаком.
Ум в ней соперничал со свойствами святыми;
Она ученостью сражала всех кругом;
Вздыхали умники, когда она, своими
Сужденьями прорвав их рассуждений круг,
К всеобщей зависти всех затмевала вдруг.",Canto the First
11,"Her memory was a mine: she knew by heart
All Calderon|||asimov-97||| and greater part of Lope,|||asimov-98|||
So that if any actor miss’d his part
She could have served him for the prompter’s copy;
For her Feinagle’s were an useless art,|||asimov-99|||
And he himself obliged to shut up shop—he
Could never make a memory so fine as
That which adorn’d the brain of Donna Inez.","Творенья Лопе вдоль и поперек
И Кальдерона знала эта дама:
Когда актер припомнить роль не мог,
Она ему подсказывала прямо.
Добро бы ей Финэгл в том помог:
Но сам Финэгл, позабыв рекламу
И лавочку прикрыв, глядел, дивясь,
Как у Инесы память развилась.","А память у нее была подобна копи:
Затвержен наизусть был ею Кальдерон
И (не поверите!) почти две трети Лопе,
Так что, замнись актер, в ней отыскал бы он
Суфлера тотчас же. Прославленный в Европе
Фейнэгл ей ни к чему; он был бы посрамлен,
Он лавочку б закрыл, он никогда б не вынес
Соревнования с дарами донны Инез.",Canto the First
12,"Her favourite science was the mathematical,|||asimov-100|||
Her noblest virtue was her magnanimity,
Her wit (she sometimes tried at wit) was Attic all,|||asimov-101|||
Her serious sayings darken’d to sublimity;
In short, in all things she was fairly what I call
A prodigy—her morning dress was dimity,
Her evening silk, or, in the summer, muslin,
And other stuffs, with which I won’t stay puzzling.","Она имела ум математический,
Держалась величаво до жеманности,
Шутила редко, но всегда аттически,
Была высокопарна до туманности,
Чудила и морально и физически
И даже одевалась не без странности:
Весною в шелк, а летом в канифас —
Все это бредни, уверяю вас!","И, математике сугубо предана
И добродетелью избрав великодушье,
Умом аттическим блистала сплошь она
В возвышенных речах, серьезных до удушья.
Ну — чудо из чудес! Всегда во всем сильна!
Носила бомбазин (простить прошу за чушь я)
Лишь утром, вечером — муслин, зимой — атлас
Или другое что́ — в названьях я увяз!",Canto the First
