Comment_num,Text,Annotator
13,"William Wordsworth (1770–1850) was the most successful English poet of his time. His publications of |||italics|||Lyrical Ballads|||/italics||| in 1798, in collaboration with Coleridge, was a landmark in English literary history, Like Coleridge and Southey, he was a radical in his youth and grew conservative with success.
In 1790 he settled in Grasmere in the Lake Country and remained there for the rest of his life. It was round him that the other Lake poets gathered.",asimov
14,"Although many of Wordsworth’s youthful poems are first-class, he wrote himself out by the time he was forty, and the last half of his long life shows only occasional flashes of power. His long poem |||italics|||The Excursion,|||/italics||| published in 1814, shows none of them and was almost entirely pedestrian. Nevertheless, Wordsworth lived to succeed Southey as poet laureate in 1843, something that would have stirred Byron’s profoundest disgust, had he lived to see it.",asimov
15,"The “dog-star” is Sirius, the brightest star in the sky (so-called because it is in the constellation Canis Major, or Great Dog). It rises close to dawn during the months of July and August and, in ancient times, was thought to radiate a significant quantity of heat, thus making those months particularly hot. This is not so, of course, but the hottest part of summer is still referred to as the “dog days”. Since great heat can induce sunstroke and can, even short of that, make anyone snappish and unreasonable, men were supposed to be more likely to go mad during the dog days. Hence Byron’s comment implies that only madmen would consider Wordsworth’s |||italics|||Excursion|||/italics||| to be poetry.",asimov
16,"The Tower of Babel was an attempt, according to the Bible, to raise a building high enough to scale heaven (Genesis 11:1–9). It is therefore the epitome of the skyscraper and to add another story to it is a way of signifying the impossible. In punishment for the attempt to build the Tower, those planning the structure were stricken by God with a confusion of tongues so that there is also the secondary implication that |||italics|||The Excursion|||/italics||| is incoherent.",asimov
17,"Keswick is the chief town of the Lake District. Coleridge lived there from 1800 to 1809, and Southey lived there all his life after 1803. Wordsworth lived only twelve miles to the south.",asimov
18,"Byron had traveled all over Europe (and was indeed, at the time he wrote this, living in Venice in permanent exile from his native land). He could not help sneering at the Lake poets for their narrow provincialism as compared with himself.",asimov
19,"It is not unknown for some person who has been of worth to the nation in the arts or sciences to be given some sinecure in the bureaucracy, to serve as a source of money and prestige. In 1813 Wordsworth was awarded the Distributorship of Stamps for the county of Westmoreland. The stamps were used as a method of taxation, hence “his place in the Excise.” Naturally, it made Wordsworth a mark for liberals like Byron who affected to believe it was for that salary that he had gone over to the Conservative side and, for fear of losing it, that he remained there.",asimov
20,"Sir Walter Scott (1771–1832) was a Scottish poet whose success came with |||italics|||The Lay of the Last Minstrel,|||/italics||| published in 1805, which contains the great set of patriotic lines that begins “Breathes there a man with soul so dead...” Byron wrote satirically at Scott’s expense in his youth, but the good-natured Scott returned pleasant words for unkind ones, and in the end they were good friends, even though Scott was, and remained, a Tory. Scott was lame from an attack of poliomyelitis in babyhood and this may have helped endear him to the self-consciously clubfooted Byron. Scott was offered the laureateship on the death of Pye, but he refused it, something which also counted in his favor as far as Byron was concerned.",asimov
21,"Samuel Rogers (1763–1855) was quite a second-rate poet, whose only literary fame came with the publication of |||italics|||The Pleasures of Memory|||/italics||| in 1792. The phrase “Not dead but gone before,” seen on many a tombstone now, is his. He was a kindly gentleman who gave good parties, was financially generous to other poets, and was a friend of Byron’s. He lived long enough to be offered the laureateship on Wordsworth’s death but refused it, and no doubt the shade of Byron approved.",asimov
22,"Thomas Campbell (1777–1844) was a Scottish poet who wrote patriotic verse (|||italics|||Ye Mariners of England,|||/italics||| 1800) and ballads (|||italics|||Lord Ullin’s Daughter, |||/italics|||1804). He was, and remained, a liberal, not only supporting the French Revolution, but also denouncing the partition of Poland and inveighing against Negro slavery. He received a pension from the Crown in 1803, but apparently Byron didn’t mind that. He and Rogers (see note 21) were about the only contemporary British writers never to suffer shafts of Byronic satire.",asimov
23,"Thomas Moore (1779–1852) was an Irish poet whose first fame came with |||italics|||Odes of Anacreon,|||/italics||| published in 1800. Some of the verses he wrote to “traditional airs” are still well-known: |||italics|||The Harp That Once Through Tara’s Halls; Believe Me, If Those Endearing Young Charms; The Last Rose of Summer; |||/italics|||and so on.
Byron’s early ridicule drove Moore to demand a duel, but Byron made good-humored amends. Thereafter, Byron always admired Moore, and the admiration was returned. Moore’s most successful work in his own time was |||italics|||Lalla Rookh|||/italics||| (1817) and that was written in Byronic style. He visited Byron during the latter’s exile in Italy ans even though Moore advised against publication of |||italics|||Don Juan|||/italics||| because of its ribaldry, their friendship remained close. Byron left him his memoirs to publish, but Moore (in an attack of unforgivable prudence) decided to burn them. In 1830, though, he used information that survived to publish |||italics|||Letters and Journals of Lord Byron|||/italics||| which included a biography.",asimov
24,"George Crabbe (1754–1832) achieved fame only late in life. He was a nature poet, like the Lakers, but preferred to be realistic and not merely sentimental. Of this, Byron approved.",asimov
25,"The result of the trial would not have pleased Byron, alas. None of the poets named in this verse, despite Byron’s approval, were destined to compete with Wordsworth and Coleridge in the eyes of posterity, though Scott at least probably transcends Southey.",asimov
26,"The Muses were the daughters of Zeus and Mnemosyne (memory) in the Greek myths. In the days before writing was common, epic poetry and other forms of literary endeavor were transmitted by word of mouth and had to be committed to memory. A correct recitation was the daughter of memory so it was natural for a poet to invoke the Muse before launching into a large effort. Eventually, nine Muses were listed, each for a special branch of art. As a result, “muse” became a metaphor for poetic inspiration and Byron, with only mock modesty, you may be sure, speaks of his own as pedestrian.",asimov
27,"Pegasus was a winged horse in Greek myth. According to one tale, Pegasus once alighted upon Mount Helicon, the traditional home of the Muses, and where his foot struck, a spring appeared, since called Hippocrene (horse-fountain). The waters of Hippocrene, through association with Helicon and the Muses, became symbolic of the bubbling upward of poetic inspiration. By further association, Pegasus, soaring high above the earth on his beautiful wings, became the symbol of the flight of poetry. Byron’s irony places the Lake poets on Pegasus in contrast to his own “pedestrian Muse.”",asimov
28,"It is obvious that Byron emphatically does not follow his own advice, but then few people do.",asimov
29,"The Greek god of the sun, Helios, was the son of Hyperion, who was one of the Titans, a group of gods who ruled the universe before Zeus and his fellow Olympians took over. The sun can be referred to, poetically, as Helios, or Hyperion, or, as in this case, Titan.",asimov
30,"John Milton (1608–1674) was greatly admired by Byron. For one thing, Milton was a revolutionary in his time. He was the great Puritan poet and he was on the side of Parliament in its war with King Charles I that began in 1642. His eloquent pen wrote in defense of the Parliamentary cause even to the justification of the execution of Charles in 1649. The shadows gathered, however. His eyesight failed, and in 1652, before his forty-fourth birthday, he was totally blind. In 1661 the monarchy was restored and those who returned to power accused Milton of treason. For a while he was in actual danger of his life.
In 1663, at the very nadir of his fortunes, he completed |||italics|||Paradise Lo|||/italics||||||italics|||st,|||/italics||| the greatest serious epic poem in English literary history (as |||italics|||Don Juan|||/italics||| is the greatest comic one). At the midpoint of the poem, near the beginning of Book VII, Milton wrote:
|||comment-quote|||...I sing with mortal voice, unchanged
To hoarse or mute, though fallen on evil days,
On evil days though fallen and evil tongues,
In darkness, and with dangers compassed round,
And solitude...|||/comment-quote|||
No doubt, Byron saw in this a comparison to his own situation, exiled from England and execrated for his irregular way of life by the pious hypocrites (so he considered them) he had left behind.",asimov
31,"In 1660, when the English were getting ready to bring back Charles I’s son to reign as Charles II, Milton wrote a pamphlet denouncing such a restoration, knowing full well that if that restoration succeeded (and it looked very much as though it would) he might be executed. He did not “loathe the Sire [Charles I] to laud the Son [Charles II]” but remained constant to his views — something Byron contrasts to the actions of Southey and the others.",asimov
32,"Samuel was the Old Testament prophet who first anointed Saul king of Israel and then broke with him. In the crisis of Saul’s life just before a climactic battle with the Philistines, Saul tried to raise the spirit of the dead Samuel (I Samuel 28:7–20) to gain guidance. When Samuel was raised, however, he horrified Saul by predicting defeat and death for him.",asimov
33,"Milton’s last years were spent not only with blindness, but with gout and poverty. The legend arose that his daughters were heartless and cruel to him, but it may well have been that he himself was captious and overly demanding.",asimov
34,"Robert Stewart, Viscount Castlereagh (1769–1822), was Foreign Secretary from 1812 to 1822. In the years following Waterloo, he kept Great Britain on the side of those Continental monarchies who attempted to crush the forces of liberalism in Europe. This made him anathema to the English liberals, and no one was more vivid in execrations against him than Byron was. He was also identified with repressive policies at home.
Byron’s phrase “intellectual eunuch” is double-barreled. He might well be impugning Castlereagh’s intelligence and it is true that Castlereagh was a bad orator and therefore sounded stupid at times. The phrase might refer more literally to a real or fancied hyposexuality, for through his long marriage of thirty-five years, Castlereagh had no child. This second implication is reinforced by Byron’s deliberate use of “its” for “his” in the succeeding verses.",asimov
35,"Castlereagh’s father was an Irish landowner, and his own first public office was in the Irish parliament in 1790. He became chief secretary to the lord lieutenant of Ireland in 1798, and played a key role in the firm suppression of an Irish rebellion in that year. British fright at the prospect of a French landing in Ireland made the repression a bloody one and Castlereagh was gladly handed the blame for that by the liberals.",asimov
36,"Castlereagh left Ireland in 1805, to take up his first post in the British cabinet as Secretary of War.",asimov
37,"After the defeat of Napoleon, Castlereagh supported the reactionary policies initiated by Prince Klemens von Metternich of Austria though Castlereagh’s secret diplomacy (unknown to the liberals) served to soften the harsh intentions of the Continental powers.",asimov
38,"Ixion was punished, in Greek myth, for his attempt to rape the goddess Hera by being tied to a fiery wheel that turned endlessly in Tartarus, that part of the underworld reserved for the torture of those who angered the gods. Ixion’s wheel is thus a poetic metaphor for the “endless torments and perpetual motion” to which Byron compares Castlereagh’s droning and uncertain oratory.",asimov
39,"The reactionary policies of Austria, Russia, and Prussia, under their guiding spirit, Metternich, did not, in the years after Waterloo, successfully prevent all expression of liberalism. The Congress of Vienna (1814) had marked out the map of Europe as it was to be after Napoleon, but Castlereagh tried to institute a regular system of periodic meetings of the great powers to take up emergencies that might arise. This dim preview of a League of Nations was mocked by Byron as indicating that the reactionaries couldn’t settle things once and for all, but had to keep patching. Indeed, even as this dedication was being written, the powers were meeting in the first postwar congress at Aix-la-Chapelle, on the western boundaries of Prussia, to consider methods for uplifting France from the outcast role she had been placed in after Waterloo and restoring her to her position as a great power.",asimov
40,"Here, again, the matter of the “intellectual eunuch” is brought up, for Castlereagh’s mind is “emasculated to the marrow”. Eutropius was a eunuch, literally, who served as a minister to the East Roman Emperor Arcadius from 395 to 398. His reputation in history was that of a vile and corrupt intriguer and he came to a bad end, being executed in 399. (Castlereagh also came to a bad end, perhaps even more tragic, four years after these words were written. Byron could not know that now — though he might hope.)",asimov
41,"No one could doubt Castlereagh’s physical courage; that was proved many times. In 1809 he fought a duel with his political rival (and eventual successor) George Canning and wounded him, thus fulfilling the ritualistic display of courage the times required. But to Byron, unwilling to allow Castlereagh any virtues at all, courage, too, becomes a vice.",asimov
42,"During the Napoleonic era, Italy was freed from its old Australian-dominated dynasties and new states were set up which were in theory free, but were actually dominated by France. Byron accepted that theory and could look back a few years and refer to Italy’s “late reviving Roman soul.” After the defeat of Napoleon, the domination was turned back from France to Austria, and now it was the reactionaries of Europe who considered Italy free. |||italics|||This|||/italics||| time the theory is a “lie” to Byron.
Talk of freedom must have seemed particularly ridiculous to Byron since Lombardy and Venetia which, before Napoleon’s time, had been independent states, were now made part of the Austrian Empire. Byron had come to Italy in the fall of 1817 and it was in Venice (now part of Austria) that he wrote the dedication and the first two cantos of |||italics|||Don Juan|||/italics|||.",asimov
43,The “buff and blue” were colors used in the uniforms of those associated with the Whig Club and came to be the badge of the liberal party of the Whigs.,asimov
44,Hercules was the giant strong man of Greek mythology and the very personification of brute strength. “Herculean” refers to anything that requires the strength of a Hercules.,asimov
45,"Julian (331–363) was a Roman emperor from 361 to 363. Although the emperors had been Christian for a generation and Julian had himself been brought up a Christian and had pretended to be one, he doffed that religion once he became emperor. He revealed himself a pagan an did his best to revive paganism as a force within the empire. In this he failed, and his reign represented the last attempt to stem the Christian tide. Later Christian historians referred to him as “Julian the Apostate” (an apostate being one who abandons the cause he had at one time supported). Byron’s final slap at Southey, then, is to make him “Ultra-Julian,” that is worse than Julian in his apostasy.
The dedication, which here ends, was completed on September 16, 1818.",asimov
46,"Canto I was written between September 6 and November 1, 1818, in Venice, Italy.",asimov
47,"The gazettes were not then, as now in the American sense of the word, simply newspapers. They were official weekly journals, publishing statistics of governmental interest: movements of the royal family, lists of honors granted, those killed in battle, and so on. Byron refers to the gazettes now and then in |||italics|||Don Juan,|||/italics||| chiefly in order to bestow a sardonic glance at their role as a military obituary list.",asimov
48,"Don Juan is an “ancient friend” because he was a well-known figure out of Spanish folklore. He first received recognized literary presentation in a drama |||italics|||El Burlador de Sevilla|||/italics|||, written in 1630 by the Spanish dramatist Gabriel Téllez (who wrote under the pseudonym Tirso de Molina).
In the original folk tale, Don Juan was the epitome of the licentious man, who aspired (usually successfully) to make love to every woman he met, and who did so with utter disregard for any law. The climax of his story is his liaison with a noblewoman and its consequences. He kills the woman’s father in a duel. The father is buried and an effigy of him is placed over the tomb. Don Juan, seeing that effigy, mockingly invites it to dinner. The stone figure duly arrives at the meal and drags the rake and blasphemer to Hell.
Various versions of this legend had already appeared in Spain and elsewhere by Byron’s time. Molière had written an play on the theme and Mozart, an opera. Byron, with no compunction whatever, utterly alters the plot in his own version. In fact, all that Byron leaves of the traditional Don Juan, is his name and birthplace; |||italics|||nothing more!|||/italics||| Don Juan’s character is utterly changed. From a heartless blasphemer, seducer, and libertine (as the world viewed Byron), he becomes an innocent, far more sinned against than sinning (as Byron viewed himself). Even the hero’s name is tampered with for Byron abandons the universal “Don Wahn” and calls him, with sturdy English disregard for the eccentric pronunciation of foreigners, “Don Joo’un,” as we can tell by the fact that he rhymes Juan with “new one” and “true one.”",asimov
49,"Don Juan was also a favorite in pantomimes and puppet shows, particularly one adapted from the play |||italics|||The Libertine|||/italics||| by Thomas Shadwell. The climax of such shows invariably came at the point where Don Juan, defiant to the last, is dragged down to Hell by the devil to the screaming enthusiasm of the audience.",asimov
50,"Edward Vernon (1684–1757) was an English admiral who wore a grogram cloak (one woven of coarse silk) in bad weather and was consequently called “Old Grog”. He was the first to issue rations of rum and water to the crew. Diluted liquor, and then liquor of any kind, came to be known as “grog” in sailor slang.",asimov
51,"William Augustus (1721–1765), a son of George II of Great Britain and an uncle of George III, was created Duke of Cumberland in 1726. In 1745 he headed the British forces fighting off the last Stuart attempt to regain the throne. On April 16, 1746, he defeated the Scottish adherents of “Bonnie Prince Charlie” at Culloden, then pursued and crushed the fleeing rebels with sufficient cruelty to wipe out Stuart hopes forever and to earn for himself the nickname “the butcher”.",asimov
52,"James Wolfe (1727–1759) was an English general who fought with Cumberland against the Stuarts, but gained his chief fame in North America. In 1759 he led the British forces against Quebec, defeated the French, and, in effect, took Canada. Wolfe, however, was mortally wounded and died at the moment of victory.",asimov
53,"Edward Hawke (1705–1781), an English admiral, reached the peak of his career in 1759, too. In this year Hawke defeated the French fleet off the southern shore of Britany.",asimov
54,"Ferdinand (1721–1792) was the son of Ferdinand Albert II of Brunswick. He fought under Frederick the Great of Prussia in the Seven Years’ War, in which Britain was Frederick’s ally. When Ferdinand beat the French in two land battles in 1758 and 1759, he qualified as a British hero.",asimov
55,"John Manners, Marquis of Granby (1721–1770), was commander in chief of the British forces fighting in Germany in alliance with Frederick the Great during the Seven Years’ War.",asimov
56,"John Burgoyne (1722–1792) is best remembered (particularly in the United States) for the defeat of his army and his surrender at Saratoga, New York, in 1777. This was the turning point of the American Revolution.",asimov
57,"Augustus Keppel (1725–1786) was an English admiral, best known for his failure to defeat the French at sea in 1778 during the American Revolution.",asimov
58,"Sir William Howe (1729–1814) was an English general, best known as the British commander at the Battle of Bunker Hill in 1775 and his capture of New York in 1776. On the whole, though, and partly because he rather sympathized with the American cause, he failed in his task of crushing the American rebellion and resigned his command in 1778.",asimov
59,"One indication of fame in the England of Byron’s time was the use of the figure of a man or woman as the sign for a public house. In a society which was largely illiterate, signs in the form of images rather than words were useful. Thus, in Charles Dickens’ |||italics|||Pickwick Papers|||/italics|||, Samuel Weller’s mother-in-law (i. e. stepmother) owned a public house known as “Marquis of Granby”",asimov
60,"All of the eighteenth-century generals and admirals listed by Byron in the first two lines of this verse had utterly paled before the glory of Arthur Wellesley. He fought successfully in India, then in Spain against Napoleon’s generals (where, in 1809, he became Viscount Wellington). He fought his way through Spain into France and, after Napoleon’s first abdication, he was made Duke of Wellington. He commanded the British forces in the climactic and victorious battle of Waterloo in 1815.
Wellington was hated by Byron as firmly as Castlereagh and Southey were, since Wellington was as staunch a pillar of reaction in post-Napoleonic Britain and, worse, was idolized by the public. Byron lists only military and political heroes in this verse and those following, perhaps because it was of this group that “a new one” was constantly appearing and then found out as “not the true one”. It is very likely that Byron was pleased at being able to point out the evanescence of military and political glory (as opposed, perhaps, to literary glory) because he hated war and despised the kind of politics then current. It gave him the chance to imply that Wellington in his turn would be soon forgotten. (But, alas for Byron, he wasn’t.)",asimov
61,"In Act IV, scene i of Shakespeare’s |||italics|||Macbeth|||/italics|||, the ghost of Banquo (whom Macbeth had caused to be assassinated) at one point leads a procession of eight future kings of Scotland in order to triumph over his assassin, who is watching in frustration, since the kings are to be Banquo’s descendants and not his own. One by one, in stately fashion, the kings move across the stage.",asimov
62,"Napoleon Bonaparte (1769–1821), or Buonaparte in the Italian spelling, was the most remarkable general of modern times. He dominated France from 1799, becoming emperor in 1804. He defeated all Europe in spectacular victories, then suffered equally spectacular defeats. His final defeat and exile came in 1815 and at the time this canto was written he had been in exile at the lonely island of St. Helena for three years. Byron and indeed a whole generation of Europeans was fascinated by Napoleon’s extraordinary rise and catastrophic fall.",asimov
63,"Charles François Dumouriez (1739–1823) was a French general who won the minor skirmish at Valmy in 1792, an incident that preserved the republic from the first assault of the surrounding monarchies. He was a moderate, however, and the next year deserted to the Austrians before the radicals could have him recalled and executed.",asimov
64,"The |||italics|||Moniteur|||/italics||| and |||italics|||Courier|||/italics||| were French newspapers, the former being the official government spokesman under Napoleon.",asimov
65,"Antoine P. J. M. Barnave (1761–1793) was a French politician who was active in revolutionary affairs, but whose moderation the Revolution outpaced; he was guillotined during the Reign of Terror.",asimov
66,Jaques Pierre Brissot (1754–1793) was a French journalist who helped storm the Bastille in 1789 and whose moderation also earned him the guillotine.,asimov
67,Marquis de Condorcet (1743–1794) was president of the Legislative Assembly of revolutionary France in 1792. He escaped the guillotine by dying while in prison.,asimov
68,"Honoré Gabriel Riqueti, Comte de Mirabeau (1749–1791) was a moderate revolutionary who dominated France during the first two years after the fall of the Bastille and who might possibly have kept France a limited monarchy had he not died of natural causes while still comparatively young.",asimov
69,"Jérôme Pétion de Villeneuve (1756–1794) was mayor of Paris from 1791 to 1792 and was moderate enough to be in danger later on. He was imprisoned in 1793 but escaped. Rather than let himself be retaken (when that seemed likely), he killed himself.",asimov
70,"Jean Baptiste du Val-de-Grâce, Baron de Cloots (1755–1794), was an ultra-revolutionary, whose extreme views against religion brought him to the guillotine in 1794 for being |||italics|||too|||/italics||| radical. (It was hard to win in those days.)",asimov
71,"George Jaques Danton (1759–1794) was the most colorful of the leaders of the French Revolution. He arranged for the execution of the moderates such as Barnave and the radicals such as Cloots, but in the end went to the guillotine himself.",asimov
72,"Jean Paul Marat (1743–1793) was one of the radical revolutionaries, who consistently denounced all moderates and as consistently advocated violence. What would have happened to him as the Revolution progressed we can never know, for on July 13, 1793, he was assassinated by Charlotte Corday, a moderate.",asimov
73,"Marie Joseph du Motier, Marquis de Lafayette (1757–1834), is best known to Americans as a young and enthusiastic foreign volunteer fighting under Washington. After the American Revolutionary War he returned to France and was an important figure in the very early stages of the French Revolution. He was in favor of a limited monarchy, however, and had to flee France in 1792.",asimov
74,"Barthélemy Catherine Joubert (1769–1799) commanded the French army in Italy, while Napoleon Bonaparte was off on a quixotic venture in Egypt. He was killed in action.",asimov
75,Louis Lazare Hoche (1768–1797) was a capable French general who might conceivably have competed with Napoleon Bonaparte for the military dictatorship of France had he not died prematurely while yet in his twenties.,asimov
76,François Séverin Marceau (1769–1796) was another young general of revolutionary days. He died as the result of a wound received in action.,asimov
77,Jean Lannes (1769–1809) was one of Napoleon’s generals and was raised to the rank of marshal in 1804. He was killed in action.,asimov
78,Louis Charles Antoine Desaix de Veygoux (1768–1800) was a general who served with Napoleon in Egypt. He was killed in action.,asimov
79,"Jean Victor Moreau (1763–1813) was a French general who opposed Napoleon early in the latter’s career. Moreau plotted against him, was caught, convicted, and exiled. He lived in the United States for a while, then entered the Russian service and died in battle, fighting against France.",asimov
80,Horatio Nelson (1758–1805) was a British admiral during the wars against revolutionary and Napoleonic France. He won repeated victories and upheld British pride at a time when her armies were small and achieved no success.,asimov
81,"Nelson wiped out the French fleet in Britain’s greatest naval victory in 1805 at Trafalgar on the Atlantic side of the Strait of Gibraltar. He was killed in this battle but not before he knew he was a victor. Byron prefers him to Wellington, since the latter was a staunch conservative while Nelson, being dead, could take no sides.",asimov
82,Adam Duncan (1731–1804) was an admiral who commanded the British fleet in the North Sea and won an important victory over the Dutch in 1797.,asimov
83,Richard Howe (1726–1799) was a British admiral who defeated the French fleet in a great battle in 1794. He was the older brother of Sir William Howe (see note 58).,asimov
84,John Jervis (1735–1823) was a British admiral who defeated the Spanish fleet in 1797.,asimov
85,"Agamemnon was the leader of the Greek expedition against Troy and has achieved undying fame through Homer’s |||italics|||Iliad|||/italics||| which deals with incidents taking place during that expedition. The Roman poet Horace (see note 87) said in one of his odes, “Brave men were living before Agamemnon; but all are overwhelmed in unending night, unwept, unknown, because they lacked a sacred bard.”",asimov
86,"|||italics|||In medias res|||/italics||| means “into the middle of things.” In Homer’s |||italics|||Odyssey|||/italics|||, the epic starts when Odysseus’ chief adventures are long over and when he is on the point of gaining home at last after ten years. Thus the epic starts in the middle of the tale. Earlier events are told by Odysseus in later portions of the epic, while he is at his ease at the Phaecian court of King Alcinoüs.",asimov
87,"Horace (65–8 B.C.), or Quintus Horatius Flaccus, was a Roman poet of whom Byron was fond and whom he often quotes. In his longest work, |||italics|||Ars Poetica|||/italics||| (|||italics|||Art of Poetry|||/italics|||) he recommends that epics start “in medias res” following the example of Homer.",asimov
88,"The reader will not be long in discovering that while writing these tow lines, Byron has his fingers firmly crossed.",asimov
89,"Seville is a town of southern Spain, 240 miles southwest of Madrid. The height of its prosperity came in the twelfth century when it was capital of what was left of Moorish Spain, and again in the sixteenth century when it benefited from the trade that came after the Spanish exploration and conquests in the Americas. Byron visited it in 1809 during his coming-of-age European tour.",asimov
90,"The proverb is |||italics|||Quien no ha visto Sevilla, no ha visto maravilla.|||/italics||| A free translation, keeping the internal rhyme, would be “To miss Seville is to miss a thrill.”",asimov
91,"Cadiz is on the Atlantic coast, sixty miles south of Seville. In the seventeenth century it gradually took over the handling of the trade that had been the source of Seville’s prosperity and the latter city declined. “That you soon may see” because Don Juan will pass through it in the next canto. Byron visited Cadiz in 1809 and admired it greatly.",asimov
92,The Guadalquivir is the most important stream of southern Spain. It flows past Cordova and Seville and reaches the Atlantic at a point twenty miles north of Cadiz.,asimov
93,"“Don,” from the Latin |||italics|||dominus|||/italics||| (master), was used as a title first by Spanish noblemen, then by anyone who was of the gentry, and finally by anyone who could get away with it (like the English “mister”).",asimov
